State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date,Grade,tempmax,tempmin,humidity,precip,uvindex
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,111.0,2000,5000,4050,2024-04-23,FAQ,97.6,73.2,40.6,0.122,10
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,111.1,2000,5000,3750,2024-03-21,FAQ,83.6,64.3,62.3,0.0,9
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,111.2,200,700,450,2023-05-06,FAQ,95.0,73.4,49.4,0.0,9
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,111.5,2000,5000,3850,2024-08-08,FAQ,91.2,78.8,89.7,0.356,7
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,111.7,2000,4500,3250,2023-08-22,FAQ,95.6,82.4,80.9,0.0,6
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,111.8,1500,3000,2000,2025-02-20,FAQ,78.7,60.8,68.6,0.032,7
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,112.0,2000,6000,4000,2024-08-06,FAQ,92.6,80.6,80.1,0.0,5
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,112.1,1000,3000,2150,2024-12-06,FAQ,75.2,51.0,53.2,0.0,6
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,112.3,1000,3000,2100,2023-11-28,FAQ,68.0,60.0,86.9,0.009,4
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,112.3,1500,3000,2000,2025-02-19,FAQ,79.6,54.2,57.0,0.0,8
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,112.3,3000,4000,3350,2024-07-31,FAQ,98.6,77.9,78.7,3.533,4
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,112.4,1500,4000,2800,2024-12-20,FAQ,71.9,47.8,74.9,0.0,6
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,112.5,1000,3000,2050,2023-12-19,FAQ,71.8,46.4,64.9,0.0,6
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,112.6,500,1800,1150,2023-01-06,FAQ,58.5,43.0,87.7,0.0,5
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,113.7,1500,3500,2550,2024-11-22,FAQ,79.0,54.6,66.6,0.0,6
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,114.1,1500,3000,2300,2024-11-27,FAQ,79.2,54.4,61.1,0.0,7
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,114.1,3000,6000,4700,2023-10-19,FAQ,84.5,63.5,60.1,0.0,8
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,114.4,2000,6000,4250,2023-03-14,FAQ,91.0,68.0,55.0,0.0,9
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,114.6,1500,3500,2400,2025-02-10,FAQ,80.2,51.8,63.2,0.0,7
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,114.8,2000,5000,3350,2024-02-21,FAQ,78.8,57.2,66.5,0.0,8
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,115.0,1500,4000,3000,2024-12-25,FAQ,71.0,49.9,82.4,0.0,6
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,115.4,1500,3000,2250,2024-01-29,FAQ,71.6,48.2,84.1,0.0,7
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,115.6,200,1000,550,2023-12-13,FAQ,74.7,48.7,69.7,0.0,6
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,116.8,2000,4200,3250,2023-08-26,FAQ,94.2,80.6,63.7,0.0,8
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,117.3,1500,3000,2500,2024-12-11,FAQ,70.9,42.8,48.2,0.0,7
